,Date,ID,Losses,Match Wins,Meta % (Leagues),My Deck,Opp Category,Opp Deck,Rolling Average,Tot. Matches,Tournament,Wins,Match Losses,Lands Macrotype
0,,1.0,2,0,1%,RG Lands,Combo-Control,Food Chain,,1.0,,0,1,RG Lands
1,,2.0,0,1,18%,Jund Lands,Brew/Other,BR Prison,,12.0,,2,0,Jund Lands
2,6/25,3.0,0,1,6%,RG Lands,White Creatures,Death & Taxes,,4.0,Practice,2,0,RG Lands
3,6/25,4.0,2,0,15%,RG Lands,Delver,RUG Delver,,10.0,Tournament,1,1,RG Lands
4,6/25,5.0,1,1,18%,RG Lands,Brew/Other,Bant Untap,,12.0,Practice,2,0,RG Lands
5,6/27,6.0,1,1,3%,RG Lands,Doomsday,Doomsday,,2.0,Tournament,2,0,RG Lands
6,6/27,7.0,2,0,6%,RG Lands,White Creatures,Esper Vial,,4.0,Tournament,0,1,RG Lands
7,7/2,8.0,1,1,18%,RG Lands,Brew/Other,Yorion Cat,,12.0,Tournament,2,0,RG Lands
8,7/7,9.0,0,1,16%,RG Lands,Tribal,Goblins,,11.0,Tournament,2,0,RG Lands
9,7/9,10.0,0,1,3%,RG Lands,Infect,Infect,70%,2.0,Tournament,2,0,RG Lands
10,7/9,11.0,0,1,16%,Jund Lands,Tribal,Elves,80%,11.0,League,2,0,Jund Lands
11,7/9,12.0,1,1,16%,Jund Lands,Tribal,Elves,80%,11.0,League,2,0,Jund Lands
12,7/9,13.0,0,1,16%,Jund Lands,Tribal,Goblins,80%,11.0,League,2,0,Jund Lands
13,7/9,14.0,0,1,15%,Jund Lands,Delver,UR Delver,90%,10.0,League,2,0,Jund Lands
14,7/9,15.0,1,1,6%,Jund Lands,White Creatures,W Eldrazi,90%,4.0,League,2,0,Jund Lands
15,7/10,16.0,2,0,3%,Jund Lands,Show & Tell,Sneak & Show,80%,2.0,Practice,0,1,Jund Lands
16,7/13,17.0,1,1,16%,Jund Lands,Tribal,Elves,90%,11.0,Weekly,2,0,Jund Lands
17,7/13,18.0,0,1,3%,Jund Lands,Infect,Infect,90%,2.0,Weekly,2,0,Jund Lands
18,7/13,19.0,0,1,16%,Jund Lands,Tribal,Goblins,90%,11.0,Weekly,2,0,Jund Lands
19,7/16,20.0,2,0,7%,Jund Lands,Storm,ANT,80%,5.0,League,1,1,Jund Lands
20,7/16,21.0,2,0,7%,Jund Lands,Storm,TES,70%,5.0,League,0,1,Jund Lands
21,7/16,22.0,2,0,7%,Jund Lands,Chalice,Urza,60%,5.0,League,0,1,Jund Lands
22,7/16,23.0,1,1,16%,Jund Lands,Tribal,Elves,60%,11.0,League,2,0,Jund Lands
23,7/16,24.0,0,1,7%,Jund Lands,Chalice,Urza,60%,5.0,League,2,0,Jund Lands
24,7/18,25.0,2,0,7%,Jund Lands,Storm,TES,50%,5.0,Tournament,1,1,Jund Lands
25,7/18,26.0,0,1,15%,Jund Lands,Delver,RUG Delver,60%,10.0,Tournament,2,0,Jund Lands
26,7/18,27.0,0,1,1%,Jund Lands,Graveyard,BR Reanimator,60%,1.0,Tournament,2,0,Jund Lands
27,7/18,28.0,0,1,1%,Jund Lands,Nic Fit,Nic Fit,60%,1.0,Tournament,2,0,Jund Lands
28,7/18,29.0,2,0,18%,Jund Lands,Brew/Other,Bant NO,50%,12.0,Tournament,1,1,Jund Lands
29,7/18,30.0,1,1,7%,Jund Lands,Chalice,Eldrazi Stompy,60%,5.0,Tournament,2,0,Jund Lands
30,7/20/2020,31.0,0,1,16%,Jund Lands,Tribal,Humans,70%,11.0,Weekly,2,0,Jund Lands
31,7/20/2020,32.0,1,1,15%,Jund Lands,Delver,Grixis Delver,80%,10.0,Weekly,2,0,Jund Lands
32,7/20/2020,33.0,2,0,18%,Jund Lands,Brew/Other,Dryad Stompy,70%,12.0,Weekly,0,1,Jund Lands
33,7/28/2020,34.0,1,1,18%,Jund Lands,Brew/Other,4c Ninjas,70%,12.0,Practice,2,0,Jund Lands
34,7/31/2020,35.0,1,1,7%,Jund Lands,Storm,TES,80%,5.0,League,2,0,Jund Lands
35,7/31/2020,36.0,1,1,16%,Jund Lands,Tribal,Goblins,80%,11.0,League,2,0,Jund Lands
36,7/31/2020,37.0,1,1,18%,Jund Lands,Brew/Other,Restore Balance,80%,12.0,League,2,0,Jund Lands
37,7/31/2020,38.0,0,1,7%,Jund Lands,3-4c Control,4c Control,80%,5.0,League,2,0,Jund Lands
38,7/31/2020,39.0,1,1,7%,Jund Lands,Chalice,Urza,90%,5.0,League,2,0,Jund Lands
39,8/1/2020,40.0,0,1,7%,Jund Lands,3-4c Control,BUG Control,90%,5.0,Weekly,2,0,Jund Lands
40,8/1/2020,41.0,1,1,3%,Jund Lands,UW,UWx Stoneblade,90%,2.0,Weekly,2,0,Jund Lands
41,8/1/2020,42.0,1,1,16%,Jund Lands,Tribal,Humans,90%,11.0,Weekly,2,0,Jund Lands
42,8/6/2020,43.0,0,1,7%,Jund Lands,3-4c Control,Astrolabe Control,100%,5.0,Practice,2,0,Jund Lands
43,8/7/2020,44.0,2,0,7%,Jund Lands,Chalice,Urza,90%,5.0,League,1,1,Jund Lands
44,8/7/2020,45.0,2,0,3%,Jund Lands,Show & Tell,Sneak & Show,80%,2.0,League,0,1,Jund Lands
45,8/7/2020,46.0,2,0,7%,Jund Lands,Storm,Belcher,70%,5.0,League,1,1,Jund Lands
46,8/7/2020,47.0,2,0,7%,Jund Lands,3-4c Control,Stryfo Pile,60%,5.0,League,0,1,Jund Lands
47,8/7/2020,48.0,0,1,18%,Jund Lands,Brew/Other,Eggs,60%,12.0,League,2,0,Jund Lands
48,8/10/2020,49.0,1,1,7%,Jund Lands,3-4c Control,BUG Control,60%,5.0,Weekly,2,0,Jund Lands
49,8/10/2020,50.0,0,1,3%,Jund Lands,Burn,Burn,60%,2.0,Weekly,2,0,Jund Lands
50,8/10/2020,51.0,1,1,18%,Jund Lands,Brew/Other,Ninjas,60%,12.0,Weekly,2,0,Jund Lands
51,8/11/2020,52.0,2,0,15%,Jund Lands,Delver,RUG Delver,50%,10.0,League,1,1,Jund Lands
52,8/11/2020,53.0,0,1,15%,Jund Lands,Delver,Grixis Delver,50%,10.0,League,2,0,Jund Lands
53,8/11/2020,54.0,1,1,18%,Jund Lands,Brew/Other,Deadguy Ale,60%,12.0,League,2,0,Jund Lands
54,8/11/2020,55.0,2,0,15%,Jund Lands,Delver,RUG Delver,60%,10.0,League,1,1,Jund Lands
